// Left wall
0,0,50,50
0,50,50,50
0,100,50,50
0,150,50,50
0,200,50,50
0,250,50,50
0,300,50,50
0,350,50,50
0,400,50,50
0,450,50,50

// Right wall
750,0,50,50
750,50,50,50
750,100,50,50
750,150,50,50
750,200,50,50
750,250,50,50
750,300,50,50
750,350,50,50
750,400,50,50
750,450,50,50

// Floor
50,430,50,50
100,430,50,50
150,430,50,50
200,430,50,50
250,430,50,50
300,430,50,50
350,430,50,50
400,430,50,50
450,430,50,50
500,430,50,50
550,430,50,50
600,430,50,50
650,430,50,50
700,430,50,50

// Platform
200,250,50,50
250,250,50,50
300,250,50,50
350,250,50,50
400,250,50,50
450,250,50,50
500,250,50,50
550,250,50,50
